Region_ID,Region_Name,Climate_ID,Soil_ID,Avg_annual_Rainfall,Altitude,Population
20220012022003,East,2022001,2022003,1800,800,800000
20220012022003,South,2022001,2022003,900,700,3000000
20220012022004,Littoral,2022001,2022004,2500,10,5100000
20220012022004,Southwest,2022001,2022004,2000,1000,2000000
20220012022004,South,2022001,2022004,900,700,3000000
20220012022006,Littoral,2022001,2022006,2500,10,5100000
20220012022006,Southwest,2022001,2022006,2000,1000,2000000
20220022022001,North,2022002,2022001,1000,800,1500000
20220022022002,West,2022002,2022002,1000,800,1500000
20220022022003,Centre,2022002,2022003,1800,500,5000000
20220022022004,Centre,2022002,2022004,1800,500,5000000
20220022022005,West,2022002,2022005,1000,800,1500000
20220032022001,Farnorth,2022003,2022001,900,700,3000000
20220042022002,Adamawa,2022004,2022002,1300,1000,700000
20220052022002,Northwest,2022005,2022002,1500,1500,2000000
20220052022005,Northwest,2022005,2022005,1500,1500,2000000
20230012023002,Littoral,2023001,2023002,2500,10,5100000
20230012023002,Southwest,2023001,2023002,2000,1000,2000000
20230012023003,South,2023001,2023003,900,700,3000000
20230012023003,East,2023001,2023003,1800,800,800000
20230012023004,South,2023001,2023004,900,700,3000000
20230012023004,Southwest,2023001,2023004,2000,1000,2000000
20230012023004,Littoral,2023001,2023004,2500,10,5100000
20230012023006,Southwest,2023001,2023006,2000,1000,2000000
20230012023006,Littoral,2023001,2023006,2500,10,5100000
20230022023001,North,2023002,2023001,1000,800,1500000
20230022023002,West,2023002,2023002,1000,800,1500000
20230022023003,Centre,2023002,2023003,1800,500,5000000
20230022023004,Centre,2023002,2023004,1800,500,5000000
20230022023005,West,2023002,2023005,1000,800,1500000
20230032023001,Farnorth,2023003,2023001,900,700,3000000
20230042023002,Adamawa,2023004,2023002,1300,1000,700000
20230052023002,Northwest,2023005,2023002,1500,1500,2000000
20230052023005,Northwest,2023005,2023005,1500,1500,2000000
20240012024002,Littoral,2024001,2024002,2500,10,5100000
20240012024002,Southwest,2024001,2024002,2000,1000,2000000
20240012024003,South,2024001,2024003,900,700,3000000
20240012024003,East,2024001,2024003,1800,800,800000
20240012024004,South,2024001,2024004,900,700,3000000
20240012024004,Southwest,2024001,2024004,2000,1000,2000000
20240012024004,Littoral,2024001,2024004,2500,10,5100000
20240012024006,Southwest,2024001,2024006,2000,1000,2000000
20240012024006,Littoral,2024001,2024006,2500,10,5100000
20240022024001,North,2024002,2024001,1000,800,1500000
20240022024002,West,2024002,2024002,1000,800,1500000
20240022024003,Centre,2024002,2024003,1800,500,5000000
20240022024004,Centre,2024002,2024004,1800,500,5000000
20240022024005,West,2024002,2024005,1000,800,1500000
20240032024001,Farnorth,2024003,2024001,900,700,3000000
20240042024002,Adamawa,2024004,2024002,1300,1000,700000
20240052024002,Northwest,2024005,2024002,1500,1500,2000000
20240052024005,Northwest,2024005,2024005,1500,1500,2000000
